work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Analyst,136260,USD,136260,US,100,US,M
2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
2022,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2022,MI,FT,Data Engineer,110000,GBP,137670,GB,0,GB,M
2022,MI,FT,Data Engineer,85000,GBP,106381,GB,0,GB,M
2022,SE,FT,Data Analyst,117000,USD,117000,US,100,US,M
2022,SE,FT,Data Analyst,99450,USD,99450,US,100,US,M
2022,EN,FT,AI Scientist,240000,INR,3097,IN,0,IN,S
2022,EN,FT,Data Engineer,129000,USD,129000,US,100,US,L
2022,EN,FT,Data Engineer,86000,USD,86000,US,100,US,L
2020,EN,FT,Data Engineer,1000000,INR,13493,IN,100,IN,L
2020,EN,FT,Data Engineer,1000000,INR,13493,IN,100,IN,L
2022,SE,FT,Data Scientist,160000,USD,160000,US,0,US,L
2022,SE,FT,Data Scientist,119300,USD,119300,US,0,US,L
2022,SE,FT,Business Data Analyst,100000,USD,100000,US,100,US,L
2022,MI,FT,Data Scientist,25000,USD,25000,TR,50,TR,M
2022,MI,FT,Data Analyst,90000,SGD,65380,SG,50,SG,M
2022,MI,FT,AI Scientist,200000,USD,200000,US,100,US,M
2022,EN,FT,Machine Learning Developer,180000,USD,180000,US,100,US,L
2022,MI,FT,Data Scientist,153000,USD,153000,US,100,US,L
2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
2022,MI,FT,Machine Learning Scientist,22800,USD,22800,EG,100,EG,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
2022,EN,FT,Data Analyst,15000,USD,15000,ID,0,ID,L
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Science Manager,193000,AUD,136239,AU,100,AU,L
2022,EN,FT,Machine Learning Engineer,83000,USD,83000,US,0,US,L
2022,MI,FT,Data Engineer,75000,GBP,93866,GB,100,GB,M
2022,MI,FT,Data Engineer,55000,GBP,68835,GB,100,GB,M
2022,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
2022,SE,FT,Data Scientist,148800,USD,148800,US,0,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,0,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,0,US,M
2022,SE,FT,ML Engineer,240000,USD,240000,US,0,US,M
2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
2022,SE,FT,Data Science Manager,300000,USD,300000,US,100,US,M
2022,SE,FT,Data Science Manager,200000,USD,200000,US,100,US,M
2022,MI,FT,Data Engineer,62500,EUR,66312,DE,50,DE,S
2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
2022,MI,FT,Machine Learning Engineer,95000,GBP,118897,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,75000,GBP,93866,GB,0,GB,M
2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
2022,MI,FT,Data Engineer,90000,GBP,112639,GB,0,GB,M
2022,MI,FT,Data Engineer,75000,GBP,93866,GB,0,GB,M
2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,80000,EUR,84879,FR,100,DE,M
2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
2022,MI,FT,ETL Developer,50000,EUR,53049,GR,0,GR,M
2022,MI,FT,ETL Developer,50000,EUR,53049,GR,0,GR,M
2022,EX,FT,Lead Data Engineer,150000,CAD,116841,CA,100,CA,S
2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
2022,EX,FT,Head of Machine Learning,6000000,INR,77444,IN,50,IN,L
2022,EN,FT,Machine Learning Engineer,28500,GBP,35669,GB,100,GB,L
2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
2022,MI,FT,Data Analyst,40000,GBP,50062,GB,100,GB,M
2022,MI,FT,Data Analyst,30000,GBP,37546,GB,100,GB,M
2022,MI,FT,Data Analyst,40000,EUR,42439,ES,100,ES,M
2022,MI,FT,Data Analyst,30000,EUR,31829,ES,100,ES,M
2022,MI,FT,Data Engineer,80000,EUR,84879,ES,100,ES,M
2022,MI,FT,Data Engineer,70000,EUR,74269,ES,100,ES,M
2022,MI,FT,Data Engineer,80000,GBP,100124,GB,100,GB,M
2022,MI,FT,Data Engineer,70000,GBP,87608,GB,100,GB,M
2022,MI,FT,Data Engineer,80000,EUR,84879,GR,100,GR,M
2022,MI,FT,Data Engineer,70000,EUR,74269,GR,100,GR,M
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
2022,MI,FT,Data Analyst,40000,EUR,42439,GR,100,GR,M
2022,MI,FT,Data Analyst,30000,EUR,31829,GR,100,GR,M
2022,MI,FT,Data Engineer,75000,GBP,93866,GB,100,GB,M
2022,MI,FT,Data Engineer,60000,GBP,75093,GB,100,GB,M
2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
2022,MI,FT,Data Engineer,60000,EUR,63659,ES,100,ES,M
2022,MI,FT,Data Engineer,45000,EUR,47744,ES,100,ES,M
2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
2022,MI,FT,Data Scientist,55000,GBP,68835,GB,0,GB,M
2022,MI,FT,Data Scientist,35000,GBP,43804,GB,0,GB,M
2022,MI,FT,Data Engineer,60000,EUR,63659,GR,100,GR,M
2022,MI,FT,Data Engineer,45000,EUR,47744,GR,100,GR,M
2022,MI,FT,Data Engineer,60000,GBP,75093,GB,100,GB,M
2022,MI,FT,Data Engineer,45000,GBP,56319,GB,100,GB,M
2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
2022,SE,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L
2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
2022,MI,FT,Data Scientist,50000,GBP,62577,GB,0,GB,M
2022,MI,FT,Data Scientist,30000,GBP,37546,GB,0,GB,M
2022,MI,FT,Data Engineer,60000,GBP,75093,GB,0,GB,M
2022,MI,FT,Data Engineer,40000,GBP,50062,GB,0,GB,M
2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
2022,SE,FT,Data Scientist,90000,GBP,112639,GB,0,GB,M
2022,SE,FT,Data Scientist,80000,GBP,100124,GB,0,GB,M
2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2022,EN,FT,Data Engineer,40000,GBP,50062,GB,100,GB,M
2022,EN,FT,Data Engineer,35000,GBP,43804,GB,100,GB,M
2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2022,SE,FT,Data Engineer,60000,GBP,75093,GB,0,GB,M
2022,SE,FT,Data Engineer,50000,GBP,62577,GB,0,GB,M
2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M
2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M
2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M
2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
2022,MI,FT,Data Analyst,50000,GBP,62577,GB,0,GB,M
2022,MI,FT,Data Analyst,35000,GBP,43804,GB,0,GB,M
2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M
2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M
2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M
2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
2022,MI,FT,Data Scientist,140000,GBP,175217,GB,0,GB,M
2022,MI,FT,Data Scientist,70000,GBP,87608,GB,0,GB,M
2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
2022,MI,FT,Machine Learning Developer,100000,CAD,77894,CA,100,CA,M
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
2022,EX,FT,Director of Data Science,250000,CAD,194735,CA,50,CA,L
2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
2022,MI,FT,NLP Engineer,240000,CNY,36302,US,50,US,L
2022,MI,FT,Business Data Analyst,1400000,INR,18070,IN,100,IN,M
2022,MI,FT,Data Scientist,2400000,INR,30977,IN,100,IN,L
2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,56232,PT,50,PT,L
2022,MI,PT,Data Engineer,50000,EUR,53049,DE,50,DE,L
2022,EN,FT,Data Scientist,1400000,INR,18070,IN,100,IN,M
2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
2022,MI,FT,Business Data Analyst,90000,CAD,70104,CA,50,CA,L
2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
2022,SE,FT,Machine Learning Engineer,65000,EUR,68964,IE,100,IE,S
2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
2022,MI,FT,Data Scientist,88000,CAD,68547,CA,100,CA,M
2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S
2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L
2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
2022,EN,FT,Data Scientist,66500,CAD,51799,CA,100,CA,L
2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,121000,AUD,85414,AU,100,AU,L
2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
2022,MI,FT,Head of Data,30000,EUR,31829,EE,100,EE,S
2022,SE,FT,Machine Learning Engineer,57000,EUR,60476,NL,100,NL,L
2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
2022,SE,FT,Research Scientist,85000,EUR,90184,FR,50,FR,L
2022,EN,FT,Data Scientist,120000,AUD,84708,AU,50,AU,M
2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
2022,SE,FT,Machine Learning Developer,100000,CAD,77894,CA,100,CA,M
2022,MI,FT,Data Scientist,150000,PLN,34033,PL,100,PL,L
2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,30768,TN,100,CZ,M
2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
2022,EN,FT,Data Engineer,52800,EUR,56020,PK,100,DE,M
2022,MI,FT,Research Scientist,59000,EUR,62598,AT,0,AT,L
2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
2022,MI,FT,Data Scientist,115000,CHF,120769,CH,0,CH,L
2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
2022,MI,FT,Data Engineer,62000,EUR,65781,FR,100,FR,M
2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S
2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
2022,SE,FT,Principal Data Scientist,148000,EUR,157027,DE,100,DE,M
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,84879,DE,0,DE,M
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
2022,EN,FT,ML Engineer,20000,EUR,21219,PT,100,PT,L
2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
